candidate_id,exact_e0,numerator,denominator,origins,covered_intervals,covered_tasksets,covered_tasks,covered_relations,covered_variants,covered_U_0_4_intervals,covered_U_0_4_tasksets,covered_U_0_6_intervals,covered_U_0_6_tasksets,representation_cost,minimum_distance_to_selected,selected,selection_rank
E0C00057,25553624640000001059/2000000000000000000000,25553624640000001059,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,8,2,3,2,4,2,1,6,1,42,,False,
E0C00058,25611374925000000281/2000000000000000000000,25611374925000000281,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,3,4,2,4,2,1,7,2,42,,False,
E0C00059,25746374835000000109/2000000000000000000000,25746374835000000109,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,4,5,2,4,3,2,7,2,42,,False,
E0C00060,12899249969999999999/1000000000000000000000,12899249969999999999,1000000000000000000000,INTERVAL_MIDPOINT,10,4,5,2,4,3,2,7,2,42,,False,
E0C00061,25885874835000000109/2000000000000000000000,25885874835000000109,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,12,4,5,2,4,5,2,7,2,42,,False,
E0C00062,6472312477500000131/500000000000000000000,6472312477500000131,500000000000000000000,INTERVAL_MIDPOINT,12,4,5,2,4,5,2,7,2,40,,False,
E0C00063,26076374925000000241/2000000000000000000000,26076374925000000241,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,11,3,4,2,4,4,1,7,2,42,,False,
E0C00064,1055309970480000057/80000000000000000000,1055309970480000057,80000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,2,3,2,4,4,1,6,1,39,,False,
E0C00065,26557498947000002013/2000000000000000000000,26557498947000002013,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,11,2,3,2,4,4,1,7,1,42,,False,
E0C00066,13278749487000001/1000000000000000000,13278749487000001,1000000000000000000,INTERVAL_MIDPOINT,11,2,3,2,4,4,1,7,1,36,,False,
E0C00067,13332562266000000459/1000000000000000000000,13332562266000000459,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,2,3,2,4,4,1,6,1,42,,False,
