phase,structure,cell_id,U_norm,taskset_id,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,envelope_common_count,envelope_strict_count,envelope_equal_count,envelope_violation_count,local_only_closure_count,q_plus_h_equals_w_count
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,3,3,28,28,0,EQUAL,28,0,28,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,4,4,41,41,0,EQUAL,41,0,41,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,5,5,55,55,0,EQUAL,55,44,11,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,6,6,29,29,0,EQUAL,29,0,29,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,7,7,34,34,0,EQUAL,34,0,34,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,8,8,37,37,0,EQUAL,37,0,37,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,9,9,83,83,0,EQUAL,83,73,10,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,0,0,7,7,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,1,1,2,2,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,2,2,3,3,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,3,3,28,28,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,4,4,41,41,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,5,5,55,55,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,6,6,29,29,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,7,7,34,34,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,8,8,37,37,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,RECURSIVE_CARRY_IN,9,9,83,83,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,0,0,6,6,0,EQUAL,6,0,6,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,1,1,37,37,0,EQUAL,37,0,37,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,2,2,1,1,0,EQUAL,1,0,1,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,3,3,9,9,0,EQUAL,9,0,9,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,4,4,10,10,0,EQUAL,10,0,10,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,5,5,15,15,0,EQUAL,15,0,15,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,6,6,36,36,0,EQUAL,36,0,36,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,7,7,39,39,0,EQUAL,39,0,39,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,8,8,68,68,0,EQUAL,68,48,20,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,DEADLINE_CARRY_IN,9,9,79,79,0,EQUAL,79,40,39,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,0,0,6,6,0,EQUAL,6,0,6,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,1,1,37,37,0,EQUAL,37,0,37,0,0,1
