cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,4,4,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,22,22,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,15,15,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,31,31,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,19,19,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,7,7,51,51,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,8,8,117,117,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,9,9,42,42,0,EQUAL
