request_id,analysis_id,cell_id,taskset_id,taskset_hash,exact_e0,variant,numerical_mode,timeout_seconds,retry_timeout_seconds,source_analysis_id,request_status
675f2ebca488f2de67581bbd9f07f8759541d6a2b92863226a29b94b0748d57e,44e387337a99aa5c8f7d3601d6303f3ef64e2148e2d6b2ade23a509ec2c9699c,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
e2c760c75288890158053ba0f3c81ccab510d37be1d42983042d6f17a510abfe,d50f19109fd16b880da2fa2d49553af0b195352b28af638e83f03776ce92957e,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
92047c902b46e8219608c95b71249a8dc806364a40801c4570f58ed986f9cbdc,e277c6acf469ee7438c676281c5c1dc8087a493bb2ddecf66fdb92c5fd3f91de,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
753a14dee952c0dd2b012d352321c148f553283f9950d24f214306bb0d02cfb7,291e282918924c1d95ac0a4820a17672d2355d560444ee3c459a8c1ec4e6ddc4,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,LOC_THETA_CW,EXACT_RATIONAL,30,60,e277c6acf469ee7438c676281c5c1dc8087a493bb2ddecf66fdb92c5fd3f91de,TERMINAL
d84080b657e95aaf76454bbf164627cd34143dc253f49da8da9d7e240bb439eb,fb8ec62a95a06c77fde8c9c54ea647ac5df5a16dc123e38a554c7d6f333e9474,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,LOC_THETA_LOC,EXACT_RATIONAL,30,60,,TERMINAL
2c1be7ab96e42479fde51ac87ade021dbaf451ac39f4c0c1bbb710fdf43c5b82,94ea7588de445cc8c818d85ea1de60e7bf0e531aa2394e630e3111481fceaab3,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
3a8eb2f9d1a5c1b38cbf4d6f3a08c06cdcef33e128dbbc34c4dbb7d635a59dc5,874fe49926a145b15962c295c44580c5d194a0ad73b4edf9680138ccac036462,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
f473ffe40e3ed1dbfaaaebe07833b7c8a3ec67cd9e76b1baf976d71ea3fc3a63,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
feb43513dd04658cb67f1a637b7a4d4196b3909ce21009b673bbd1b61b603206,cef079fdc7ecc5e15d02c1ba1870e6f971620d6e933761d56e946b0cf4ea43f9,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,LOC_THETA_CW,EXACT_RATIONAL,30,60,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,TERMINAL
a6208875824fdebd785ad79be94f3336b455caa24179a66ed6d705b7af7aa8e1,60603ec7dee01a4ec29ac0ba556a987b00fa99bba7523730c339d7aba352fbef,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,LOC_THETA_LOC,EXACT_RATIONAL,30,60,,TERMINAL
e0504a3808a226140176e94c444ea64fe456a6ae9354bab15b7af9972902f43d,f717659c4df07470309ebb55f27d3ebba7acd66d6d2d69794d14cc0c4e316bd9,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
278e6e83537281dae0b23500fab5a622fd15a791b6bb583aed7c4216d3710be5,e2c4f820e46227ad543070b381da539043d1a03fcc4166d1806d6710f437d540,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
5cf1a95b5e0180c9ba42be28687d803408e653072d65ca5cd986030ad4febfe6,d728e68195a17aea615264045aa89e527fc2469f56f5ae66125a6ebbcdd668f9,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
a52b1559b3983228da8d811023780b25654e44f8ee6310fdcda11cef905b384f,38fcc2a5ee269e9167d705bb4c4c21b7ec923a0f660478aeb45498a05e67540b,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,LOC_THETA_CW,EXACT_RATIONAL,30,60,d728e68195a17aea615264045aa89e527fc2469f56f5ae66125a6ebbcdd668f9,TERMINAL
b0d6e6d086da21ad2ba39293cc312fe9cbaa1a24a17748eb4f3e59d838b30ebd,b9975cccfa9ed9f99d6704f733507927ae818def548e98f3883d27f73c5163f6,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,LOC_THETA_LOC,EXACT_RATIONAL,30,60,,TERMINAL
d8d14af956531a4fd4bb31d65e890f2e8b3286a41c8ca01b9127c0765985355b,e395e7c4da1b769730715d82c945ff51ee6d902c3282db7ab40ff10a93836bdf,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,21473099401200000281/200000000000000000000,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
14b254fd42fd7b9f302bd987593df911b81f79667b302e3cc864c71cd2559502,ffef9125bdbcff53adaec0ea2ec178a6d5d24b337ae94d94b0cf0e855e30b1a0,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,21473099401200000281/200000000000000000000,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
7c4dfc227b239f3624e078c98f9294026f820c11a7d2b114a94317c14683f0d5,3a15ae69dfae879cc0eeebd9f27fabcf7caf31a075daa2d6e56fb5bed0db5867,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,21473099401200000281/200000000000000000000,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
