plot,scheduler_id,trace_id,trace_scale,request_id,category,x,y
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,50,20.0229
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,59,20.0305
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,59,20.0314
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,61,20.0323
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,61,20.0323
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,61,20.0326
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,65,20.0334
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,69,20.034599999999998
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,92,20.057599999999997
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,92,20.0582
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,97,20.0607
