cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,18,18,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,9,9,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,59,59,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,,,,,,NOT_APPLICABLE
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,4,4,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,8,8,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,4,4,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,23,23,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,18,18,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,9,9,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,6,6,57,57,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,5,5,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,5,5,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,17,17,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,5,5,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,53,53,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,23,23,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,39,39,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,7,7,37,37,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,8,8,79,79,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,,,,,,NOT_APPLICABLE
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,5,5,0,EQUAL
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,5,5,0,EQUAL
