plot,cell_id,taskset_id,variant,relation,x,y,outcome
ablation,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_CW_THETA_CW,4,0,EQUAL
ablation,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_CW_THETA_CW,5,0,EQUAL
ablation,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_CW_THETA_CW,6,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,0,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,1,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,2,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,3,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,4,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,5,3,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,6,7,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,7,7,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,8,17,TIGHTER
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,0,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,1,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,2,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,3,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,4,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,5,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,CW_THETA_CW,CW_THETA_CW_VS_CW_D,6,2,TIGHTER
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,0,0,EQUAL
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,1,0,EQUAL
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,2,0,EQUAL
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,3,0,EQUAL
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,4,0,EQUAL
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,5,3,TIGHTER
ablation,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,CW_THETA_CW,CW_THETA_CW_VS_CW_D,6,7,TIGHTER
